   i      x      y
 790  0.494  1.835
 791  0.494  1.837
 792  0.495  1.839
 793  0.496  1.841
 794  0.496  1.843
 795  0.497  1.845
 796  0.497  1.847
 797  0.498  1.849
 798  0.499  1.851
 799  0.499  1.853
 800  0.500  1.855
 801  0.501  1.857
 802  0.501  1.859
 803  0.502  1.861
 804  0.503  1.863
 805  0.503  1.865
 806  0.504  1.867
 807  0.504  1.869
 808  0.505  1.871
 809  0.506  1.873
 810  0.506  1.875
 811  0.507  1.877
 812  0.508  1.879
 813  0.508  1.881
 814  0.509  1.883
 815  0.509  1.885
 816  0.510  1.887
 817  0.511  1.889
 818  0.511  1.891
 819  0.512  1.893
 820  0.512  1.895
 821  0.513  1.897
 822  0.514  1.899
 823  0.514  1.901
 824  0.515  1.903
 825  0.516  1.905
 826  0.516  1.907
 827  0.517  1.908
 828  0.517  1.910
 829  0.518  1.912
 830  0.519  1.914
 831  0.519  1.916
 832  0.520  1.918
 833  0.521  1.920
 834  0.521  1.922
 835  0.522  1.924
 836  0.522  1.926
 837  0.523  1.928
 838  0.524  1.930
 839  0.524  1.932
 840  0.525  1.934
 841  0.526  1.936
 842  0.526  1.938
 843  0.527  1.940
 844  0.527  1.942
 845  0.528  1.944
 846  0.529  1.946
 847  0.529  1.948
 848  0.530  1.950
 849  0.531  1.952
 850  0.531  1.954
 851  0.532  1.956
 852  0.532  1.958
 853  0.533  1.959
 854  0.534  1.961
 855  0.534  1.963
 856  0.535  1.965
 857  0.536  1.967
 858  0.536  1.969
 859  0.537  1.971
 860  0.537  1.973
 861  0.538  1.975
 862  0.539  1.977
 863  0.539  1.979
 864  0.540  1.981
 865  0.541  1.983
 866  0.541  1.985
 867  0.542  1.987
 868  0.542  1.989
 869  0.543  1.990
 870  0.544  1.992
 871  0.544  1.994
 872  0.545  1.996
 873  0.546  1.998
 874  0.546  2.000
 875  0.547  2.002
 876  0.547  2.004
 877  0.548  2.006
 878  0.549  2.008
 879  0.549  2.010
 880  0.550  2.012
 881  0.551  2.014
 882  0.551  2.016
 883  0.552  2.017
 884  0.552  2.019
 885  0.553  2.021
 886  0.554  2.023
 887  0.554  2.025
 888  0.555  2.027
 889  0.556  2.029
 890  0.556  2.031
 891  0.557  2.033
 892  0.557  2.035
 893  0.558  2.037
 894  0.559  2.038
 895  0.559  2.040
 896  0.560  2.042
 897  0.561  2.044
 898  0.561  2.046
 899  0.562  2.048
 900  0.562  2.050
 901  0.563  2.052
 902  0.564  2.054
 903  0.564  2.056
 904  0.565  2.057
 905  0.566  2.059
 906  0.566  2.061
 907  0.567  2.063
 908  0.568  2.065
 909  0.568  2.067
 910  0.569  2.069
 911  0.569  2.071
 912  0.570  2.073
 913  0.571  2.074
 914  0.571  2.076
 915  0.572  2.078
 916  0.573  2.080
 917  0.573  2.082
 918  0.574  2.084
 919  0.574  2.086
 920  0.575  2.088
 921  0.576  2.090
 922  0.576  2.091
 923  0.577  2.093
 924  0.578  2.095
 925  0.578  2.097
 926  0.579  2.099
 927  0.579  2.101
 928  0.580  2.103
 929  0.581  2.105
 930  0.581  2.106
 931  0.582  2.108
 932  0.583  2.110
 933  0.583  2.112
 934  0.584  2.114
 935  0.584  2.116
 936  0.585  2.118
 937  0.586  2.119
 938  0.586  2.121
 939  0.587  2.123
 940  0.588  2.125
 941  0.588  2.127
 942  0.589  2.129
 943  0.589  2.131
 944  0.590  2.132
 945  0.591  2.134
 946  0.591  2.136
 947  0.592  2.138
 948  0.593  2.140
 949  0.593  2.142
 950  0.594  2.144
 951  0.594  2.145
 952  0.595  2.147
 953  0.596  2.149
 954  0.596  2.151
 955  0.597  2.153
 956  0.598  2.155
 957  0.598  2.156
 958  0.599  2.158
 959  0.599  2.160
 960  0.600  2.162
 961  0.601  2.164
 962  0.601  2.166
 963  0.602  2.168
 964  0.603  2.169
 965  0.603  2.171
 966  0.604  2.173
 967  0.604  2.175
 968  0.605  2.177
 969  0.606  2.179
 970  0.606  2.180
 971  0.607  2.182
 972  0.608  2.184
 973  0.608  2.186
 974  0.609  2.188
 975  0.609  2.189
 976  0.610  2.191
 977  0.611  2.193
 978  0.611  2.195
 979  0.612  2.197
 980  0.613  2.199
 981  0.613  2.200
 982  0.614  2.202
 983  0.614  2.204
 984  0.615  2.206
 985  0.616  2.208
 986  0.616  2.209
 987  0.617  2.211
 988  0.618  2.213
 989  0.618  2.215
 990  0.619  2.217
 991  0.619  2.219
 992  0.620  2.220
 993  0.621  2.222
 994  0.621  2.224
 995  0.622  2.226
 996  0.623  2.228
 997  0.623  2.229
 998  0.624  2.231
 999  0.624  2.233
1000  0.625  2.235
1001  0.626  2.237
1002  0.626  2.238
1003  0.627  2.240
1004  0.628  2.242
1005  0.628  2.244
1006  0.629  2.246
1007  0.629  2.247
1008  0.630  2.249
1009  0.631  2.251
1010  0.631  2.253
1011  0.632  2.254
1012  0.633  2.256
1013  0.633  2.258
1014  0.634  2.260
1015  0.634  2.262
1016  0.635  2.263
1017  0.636  2.265
1018  0.636  2.267
1019  0.637  2.269
1020  0.638  2.271
1021  0.638  2.272
1022  0.639  2.274
1023  0.639  2.276
1024  0.640  2.278
1025  0.641  2.279
1026  0.641  2.281
1027  0.642  2.283
1028  0.642  2.285
1029  0.643  2.286
1030  0.644  2.288
1031  0.644  2.290
1032  0.645  2.292
1033  0.646  2.294
1034  0.646  2.295
1035  0.647  2.297
1036  0.647  2.299
1037  0.648  2.301
1038  0.649  2.302
1039  0.649  2.304
1040  0.650  2.306
1041  0.651  2.308
1042  0.651  2.309
1043  0.652  2.311
1044  0.652  2.313
1045  0.653  2.315
1046  0.654  2.316
1047  0.654  2.318
1048  0.655  2.320
1049  0.656  2.322
1050  0.656  2.323
1051  0.657  2.325
1052  0.657  2.327
1053  0.658  2.329
1054  0.659  2.330
1055  0.659  2.332
1056  0.660  2.334
1057  0.661  2.336
1058  0.661  2.337
1059  0.662  2.339
1060  0.662  2.341
1061  0.663  2.343
1062  0.664  2.344
1063  0.664  2.346
1064  0.665  2.348
1065  0.666  2.350
1066  0.666  2.351
1067  0.667  2.353
1068  0.667  2.355
1069  0.668  2.356
1070  0.669  2.358
1071  0.669  2.360
1072  0.670  2.362
1073  0.671  2.363
1074  0.671  2.365
1075  0.672  2.367
1076  0.672  2.369
1077  0.673  2.370
1078  0.674  2.372
1079  0.674  2.374
1080  0.675  2.375
1081  0.676  2.377
1082  0.676  2.379
1083  0.677  2.381
1084  0.677  2.382
1085  0.678  2.384
1086  0.679  2.386
1087  0.679  2.387
1088  0.680  2.389
1089  0.681  2.391
1090  0.681  2.393
1091  0.682  2.394
1092  0.682  2.396
1093  0.683  2.398
1094  0.684  2.399
1095  0.684  2.401
1096  0.685  2.403
1097  0.686  2.404
1098  0.686  2.406
1099  0.687  2.408
1100  0.688  2.410
1101  0.688  2.411
1102  0.689  2.413
1103  0.689  2.415
1104  0.690  2.416
1105  0.691  2.418
1106  0.691  2.420
1107  0.692  2.421
1108  0.693  2.423
1109  0.693  2.425
1110  0.694  2.426
1111  0.694  2.428
1112  0.695  2.430
1113  0.696  2.432
1114  0.696  2.433
1115  0.697  2.435
1116  0.698  2.437
1117  0.698  2.438
1118  0.699  2.440
1119  0.699  2.442
1120  0.700  2.443
1121  0.701  2.445
1122  0.701  2.447
1123  0.702  2.448
1124  0.703  2.450
1125  0.703  2.452
1126  0.704  2.453
1127  0.704  2.455
1128  0.705  2.457
1129  0.706  2.458
1130  0.706  2.460
1131  0.707  2.462
1132  0.708  2.463
1133  0.708  2.465
1134  0.709  2.467
1135  0.709  2.468
1136  0.710  2.470
1137  0.711  2.472
1138  0.711  2.473
1139  0.712  2.475
1140  0.713  2.477
1141  0.713  2.478
1142  0.714  2.480
